,Source,Filter,Obs_number,Detected Name,Date obs,RA,DEC,Error_circle (arcsec),Position_source,nH,Mag_raw,Mag_err,Upper_limit,zp_offset,SExtractor_Flag,Astrometric_err,An_extinction,An_extinction_err,Mag_corr,Mag_err_corr,Flux (erg/s/cm2),Flux_err,F_NIR_upplim,Distance (kpc),D_errup,D_errlow,Distance_source,L_NIR,L_NIR_errup,L_NIR_errlow,L_NIR_upplim,Xray_Flux (erg/s/cm2),Xray_errup,Xray_errlow,Xray_upplim,Xray_Flux_source,L_X,L_X_errup,L_X_errlow,L_X_upplim,Comments,,L_NIR_errup_nodist,L_NIR_errlow_nodist,L_NIR_errup_noflux,L_NIR_errlow_noflux,L_X_errup_nodist,L_X_errlow_nodist,L_X_errup_noflux,L_X_errlow_noflux,log_L_NIR,log_L_X,log_L_NIR_errup,log_L_NIR_errlow,log_L_X_errup,log_L_X_errlow,log_L_NIR_errup_nodist,log_L_NIR_errlow_nodist,log_L_NIR_errup_noflux,log_L_NIR_errlow_noflux,log_L_X_errup_nodist,log_L_X_errlow_nodist,log_L_X_errup_noflux,log_L_X_errlow_noflux,log_L_NIR_upplim,log_L_X_upplim
13,XTE_J1719-291,H,714,,2013-06-18,17 19 17.18,-29 04 10.0,0.2,"Greiner+2008, Chandra",3.01e+21,,,18.76324426,-0.06050480177,,0.3220576645,0.294273743,0.004931962173,,,,0.0,3.6604005123412084e-14,8.0,,,,,,,2.8029770110511102e+32,,,,1.1e-13,Padilla+2011,,,,8.4233260862051e+32,Astrometric offset,,,,,,,,,,,,,,,,,,,,,,,,32.447619535857115,32.925483613548984
14,2S_0918-549,J,3126,S,2018-11-13,09 20 26.4818170056,-55 12 24.512806404,0.1,"Gaia Collaboration 2020, Gaia",5.29e+21,15.759552,0.018297242,,-0.02316887179,1.0,0.4282440115,0.833396648,0.01396754159,14.94932392,0.02325132205,1.8400000000000002e-12,3.072588485300301e-14,,5.4,,,in 't Zand+2005,6.419723113063679e+33,2.725766743637415e+33,2.725766743637415e+33,,3.64e-10,2.3e-12,2.3e-12,,Build swift XRT products,1.2699887028017275e+36,5.388703276429296e+35,5.388703276429296e+35,,,1.8400000000000002e-12,1.072019962826938e+32,1.072019962826938e+32,2.7236578479524045e+33,2.7236578479524045e+33,8.024653891329597e+33,8.024653891329597e+33,5.388105742688451e+35,5.388105742688451e+35,33.80751629706235,36.103799857701866,0.18439821077457466,0.18439821077457466,0.18427597760549408,0.18427597760549408,0.0072522186104640824,0.0072522186104640824,0.18425554391141263,0.18425554391141263,0.002744168429608459,0.002744168429608459,0.1842555439114126,0.1842555439114126,,
16,2S_0918-549,H,3133,S,2018-11-13,09 20 26.4818170056,-55 12 24.512806404,0.3,"Gaia Collaboration 2020, Gaia",5.29e+21,15.088455,0.008751974,,-0.04129475527,0.0,0.2353456654,0.5171787709,0.00866780063,14.61257148,0.01271443066,1.67e-12,1.35e-14,,5.4,,,in 't Zand+2005,5.826596521095838e+33,2.472464234188986e+33,2.472464234188986e+33,,3.64e-10,2.3e-12,2.3e-12,,Build swift XRT products,1.2699887028017275e+36,5.388703276429296e+35,5.388703276429296e+35,,Astronomy not great so used error circle of 0.3 instead of 0.1 to include source,1.67e-12,4.7101229362151985e+31,4.7101229362151985e+31,2.4720155467828884e+33,2.4720155467828884e+33,8.024653891329597e+33,8.024653891329597e+33,5.388105742688451e+35,5.388105742688451e+35,33.7654149452004,36.103799857701866,0.18428898752877346,0.18428898752877346,0.18427597760549408,0.18427597760549408,0.0035107637758646105,0.0035107637758646105,0.1842555439114126,0.1842555439114126,0.002744168429608459,0.002744168429608459,0.1842555439114126,0.1842555439114126,,
17,2S_0918-549,Ks,3138,S,2018-11-13,09 20 26.4818170056,-55 12 24.512806404,0.1,"Gaia Collaboration 2020, Gaia",5.29e+21,15.0787,0.010139113,,-0.02830918406,2.0,0.2816641399,0.3309944134,0.005547392403,14.77601452,0.01227089855,9.31e-13,8.7e-15,,5.4,,,in 't Zand+2005,3.248240336012111e+33,1.3784459087789993e+33,1.3784459087789993e+33,,3.64e-10,2.3e-12,2.3e-12,,Build swift XRT products,1.2699887028017275e+36,5.388703276429296e+35,5.388703276429296e+35,,,9.31e-13,3.0354125588942393e+31,3.0354125588942393e+31,1.3781116611107e+33,1.3781116611107e+33,8.024653891329597e+33,8.024653891329597e+33,5.388105742688451e+35,5.388105742688451e+35,33.51164815503415,36.103799857701866,0.18430023331333956,0.18430023331333956,0.18427597760549408,0.18427597760549408,0.004058390969450367,0.004058390969450367,0.18425554391141258,0.18425554391141258,0.002744168429608459,0.002744168429608459,0.1842555439114126,0.1842555439114126,,
18,EXO_0748-676,J,2836,S,2014-05-08,07 48 33.70944,-67 45 07.722,0.2,"Monet+2003, PMM",8.97e+20,20.905659,0.09417507,,-0.01983599945,0.0,0.2705484687,0.1413150838,0.002368409226,20.78418006,0.0944081974,7.75e-15,6.73e-16,,7.4,0.9,0.9,Galloway+2008,5.077805905858781e+31,9.783786863106515e+30,9.783786863106515e+30,,5e-13,1.5e-13,1.5e-13,,Thesis Bilal 2018,3.276003810231472e+33,1.1328705273736467e+33,1.1328705273736467e+33,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~5 GDR sources,7.75e-15,4.409501128571561e+30,4.409501128571561e+30,8.733772677361241e+30,8.733772677361241e+30,9.828011430694414e+32,9.828011430694414e+32,5.634692049910478e+32,5.634692049910478e+32,31.70567609637514,33.515344398204846,0.08367875270423648,0.08367875270423648,0.15018279808241078,0.15018279808241078,0.037713572428501735,0.037713572428501735,0.07469819347759969,0.07469819347759969,0.13028834457097552,0.13028834457097552,0.07469819347759969,0.07469819347759969,,
19,EXO_0748-676,H,2827,S,2014-05-08,07 48 33.70944,-67 45 07.722,0.2,"Monet+2003, PMM",8.97e+20,20.021292,0.100277275,,0.01104126314,0.0,0.3053883816,0.08769553073,0.001469757498,19.92255456,0.1009094598,1.26e-14,1.16e-15,,7.4,0.9,0.9,Galloway+2008,8.255529601783308e+31,1.6105546852930722e+31,1.6105546852930722e+31,,5e-13,1.5e-13,1.5e-13,,Thesis Bilal 2018,3.276003810231472e+33,1.1328705273736467e+33,1.1328705273736467e+33,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~5 GDR sources,1.26e-14,7.600328839737012e+30,7.600328839737012e+30,1.4199423965774403e+31,1.4199423965774403e+31,9.828011430694414e+32,9.828011430694414e+32,5.634692049910478e+32,5.634692049910478e+32,31.91674493898639,33.515344398204846,0.0847256380105666,0.0847256380105666,0.15018279808241078,0.15018279808241078,0.03998266658791841,0.03998266658791841,0.07469819347759969,0.07469819347759969,0.13028834457097552,0.13028834457097552,0.07469819347759969,0.07469819347759969,,
20,EXO_0748-676,Ks,2818,S,2014-05-08,07 48 33.70944,-67 45 07.722,0.3,"Monet+2003, PMM",8.97e+20,19.911205,0.15914378,,0.01776262676,0.0,0.3163508295,0.05612513966,0.0009406447989,19.83731701,0.1600279965,8.8e-15,1.29e-15,,7.4,0.9,0.9,Galloway+2008,5.76576670600739e+31,1.3030190406590981e+31,1.3030190406590981e+31,,5e-13,1.5e-13,1.5e-13,,Thesis Bilal 2018,3.276003810231472e+33,1.1328705273736467e+33,1.1328705273736467e+33,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~5 GDR sources & used error circle of 0.3 instead of 0.1 to include source,8.8e-15,8.452089830397197e+30,8.452089830397197e+30,9.91705800784244e+30,9.91705800784244e+30,9.828011430694414e+32,9.828011430694414e+32,5.634692049910478e+32,5.634692049910478e+32,31.760857066018996,33.515344398204846,0.09814722100766002,0.09814722100766002,0.15018279808241078,0.15018279808241078,0.06366362291536305,0.06366362291536305,0.07469819347759969,0.07469819347759969,0.13028834457097552,0.13028834457097552,0.07469819347759969,0.07469819347759969,,
21,EXO_0748-676,J,3080,,2018-11-13,07 48 33.70944,-67 45 07.722,0.2,"Monet+2003, PMM",8.97e+20,,,21.732403,-0.02857053304,,0.1736509813,0.1413150838,0.002368409226,,,,0.0,3.2377630581811102e-15,7.4,0.9,0.9,Galloway+2008,,,,2.121384823045604e+31,5e-13,1.5e-13,1.5e-13,,Thesis Bilal 2018,3.276003810231472e+33,1.1328705273736467e+33,1.1328705273736467e+33,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~5 GDR sources,,,,,,9.828011430694414e+32,9.828011430694414e+32,5.634692049910478e+32,5.634692049910478e+32,,33.515344398204846,,,0.15018279808241078,0.15018279808241078,,,,,0.13028834457097552,0.13028834457097552,0.07469819347759969,0.07469819347759969,31.326619457467892,
22,EXO_0748-676,H,3090,,2018-11-13,07 48 33.70944,-67 45 07.722,0.2,"Monet+2003, PMM",8.97e+20,,,20.82067544,-0.02439547922,,0.233676069,0.08769553073,0.001469757498,,,,0.0,5.5024503876567084e-15,7.4,0.9,0.9,Galloway+2008,,,,3.605209687114603e+31,5e-13,1.5e-13,1.5e-13,,Thesis Bilal 2018,3.276003810231472e+33,1.1328705273736467e+33,1.1328705273736467e+33,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~5 GDR sources,,,,,,9.828011430694414e+32,9.828011430694414e+32,5.634692049910478e+32,5.634692049910478e+32,,33.515344398204846,,,0.15018279808241078,0.15018279808241078,,,,,0.13028834457097552,0.13028834457097552,0.07469819347759969,0.07469819347759969,31.556930529335183,
23,EXO_0748-676,Ks,3095,,2018-11-13,07 48 33.70944,-67 45 07.722,0.2,"Monet+2003, PMM",8.97e+20,,,20.4732919,-0.01198651696,,0.1964168965,0.05612513966,0.0009406447989,,,,0.0,4.900580770961312e-15,7.4,0.9,0.9,Galloway+2008,,,,3.210864255603268e+31,5e-13,1.5e-13,1.5e-13,,Thesis Bilal 2018,3.276003810231472e+33,1.1328705273736467e+33,1.1328705273736467e+33,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~5 GDR sources,,,,,,9.828011430694414e+32,9.828011430694414e+32,5.634692049910478e+32,5.634692049910478e+32,,33.515344398204846,,,0.15018279808241078,0.15018279808241078,,,,,0.13028834457097552,0.13028834457097552,0.07469819347759969,0.07469819347759969,31.50662194546417,
24,XSS_J12270-4859,J,2845,S,2014-05-08,12 27 58.7476831466,-48 53 42.824592947,0.1,"Gaia Collaboration 2020, Gaia",1.07e+21,17.166628,0.012503633,,0.02348801294,3.0,0.3376464014,0.1685698324,0.002825192722,16.97457096,0.01671835432,2.59e-13,2.98e-15,,1.37,0.69,0.15,de Martino+2020,5.816367683778939e+31,4.143353902367761e+31,9.030945794256821e+30,,3e-13,2e-13,2e-13,,Thesis Bilal 2018,6.73710542522657e+31,6.572633712194075e+31,4.610957586484322e+31,,,2.59e-13,6.692191389058394e+29,6.692191389058394e+29,4.142813418162515e+31,9.00611612644025e+30,4.491403616817714e+31,4.491403616817714e+31,4.798625580883222e+31,1.043179474105048e+31,31.76465185280094,31.828473343439352,0.309374481497964,0.0674319461568995,0.42369213076121287,0.29723647022084887,0.004996901760894557,0.004996901760894557,0.30933412481478034,0.06724654887277831,0.2895296546021679,0.2895296546021679,0.3093341248147803,0.06724654887277831,,
25,XSS_J12270-4859,H,2854,S,2014-05-08,12 27 58.7476831466,-48 53 42.824592947,0.1,"Gaia Collaboration 2020, Gaia",1.07e+21,16.570377,0.012664714,,-0.03862531407,2.0,0.1416770626,0.1046089385,0.001753222434,16.50439413,0.01604450499,2.93e-13,3.42e-15,,1.37,0.69,0.15,de Martino+2020,6.579906298637951e+31,4.68728691628827e+31,1.0217293350510581e+31,,3e-13,2e-13,2e-13,,Thesis Bilal 2018,6.73710542522657e+31,6.572633712194075e+31,4.610957586484322e+31,,,2.93e-13,7.680300184758291e+29,7.680300184758291e+29,4.6866576506626135e+31,1.0188386197092636e+31,4.491403616817714e+31,4.491403616817714e+31,4.798625580883222e+31,1.043179474105048e+31,31.818219709073798,31.828473343439352,0.3093756583224733,0.0674373451645058,0.42369213076121287,0.29723647022084887,0.005069239345082324,0.005069239345082324,0.3093341248147803,0.06724654887277831,0.2895296546021679,0.2895296546021679,0.3093341248147803,0.06724654887277831,,
26,XSS_J12270-4859,Ks,2864,S,2014-05-08,12 27 58.7476831466,-48 53 42.824592947,0.2,"Gaia Collaboration 2020, Gaia",1.07e+21,16.448586,0.01703421,,-0.06096642009,2.0,0.1927944551,0.06694972067,0.001122062358,16.44260228,0.01938678483,2.01e-13,3.15e-15,,1.37,0.69,0.15,de Martino+2020,4.513860634901802e+31,3.215857267239882e+31,7.025009488065978e+30,,3e-13,2e-13,2e-13,,Thesis Bilal 2018,6.73710542522657e+31,6.572633712194075e+31,4.610957586484322e+31,,,2.01e-13,7.073960696487898e+29,7.073960696487898e+29,3.2150791391917582e+31,6.989302476503822e+30,4.491403616817714e+31,4.491403616817714e+31,4.798625580883222e+31,1.043179474105048e+31,31.65454814614018,31.828473343439352,0.30940899126389065,0.06759009864848017,0.42369213076121287,0.29723647022084887,0.006806107552215139,0.006806107552215139,0.3093341248147803,0.06724654887277831,0.2895296546021679,0.2895296546021679,0.3093341248147803,0.06724654887277831,,
27,IGR_J1706.2-6143,J,2982,S,2014-05-08,17 06 16.3,-61 42 40.5,0.3,"Ricci+2008, UVOT",1.02e+21,19.79739733,0.05942994518,,0.0005247648385,,0.2752227556,0.1606927374,0.00269317437,19.63617983,0.05966605269,2.19e-14,1.3203408650799232e-15,,7.3,0.5,0.5,Keek+2017,1.3963708994647366e+32,1.5931760775903543e+31,1.5931760775903543e+31,,2.35e-10,1.1e-12,1.1e-12,,Build swift XRT products,1.4983888647224344e+36,1.4530922000001999e+35,1.4530922000001999e+35,,Applied PSF & Astrometric offset,2.19e-14,8.418655531377628e+30,8.418655531377628e+30,1.3525799069357177e+31,1.3525799069357177e+31,7.013735111466714e+33,7.013735111466714e+33,1.4513985302734872e+35,1.4513985302734872e+35,32.1450007894879,36.17562453691952,0.049550415255931145,0.049550415255931145,0.04211656526649671,0.04211656526649671,0.026183413330391616,0.026183413330391616,0.042067475778861316,0.042067475778861316,0.002032867787632242,0.002032867787632242,0.042067475778861316,0.042067475778861316,,
29,IGR_J1706.2-6143,H,3018,S,2014-05-08,17 06 16.3,-61 42 40.5,0.3,"Ricci+2008, UVOT",1.02e+21,19.70588507,0.08975067677,,-0.01343227184,,0.1432983856,0.09972067039,0.001671296152,19.61959668,0.08987146088,1.69e-14,1.5837073593312622e-15,,7.3,0.5,0.5,Keek+2017,1.0775647580344314e+32,1.4522870855715984e+31,1.4522870855715984e+31,,2.35e-10,1.1e-12,1.1e-12,,Build swift XRT products,1.4983888647224344e+36,1.4530922000001999e+35,1.4530922000001999e+35,,Applied PSF ,1.69e-14,1.009791264766355e+31,1.009791264766355e+31,1.0437717090051886e+31,1.0437717090051886e+31,7.013735111466714e+33,7.013735111466714e+33,1.4513985302734872e+35,1.4513985302734872e+35,32.03244337926146,36.17562453691952,0.05853200586789675,0.05853200586789675,0.04211656526649671,0.04211656526649671,0.040697950716398666,0.040697950716398666,0.04206747577886132,0.04206747577886132,0.002032867787632242,0.002032867787632242,0.042067475778861316,0.042067475778861316,,
31,IGR_J1706.2-6143,Ks,3027,S,2014-05-08,17 06 16.3,-61 42 40.5,0.3,"Ricci+2008, UVOT",1.02e+21,19.44067741,0.1540519926,,-0.05480315726,,0.1322897107,0.06382122905,0.001069629537,19.43165934,0.1542437578,1.28e-14,2.0228912476947443e-15,,7.3,0.5,0.5,Keek+2017,8.161437220615812e+31,1.5128133140717602e+31,1.5128133140717602e+31,,2.35e-10,1.1e-12,1.1e-12,,Build swift XRT products,1.4983888647224344e+36,1.4530922000001999e+35,1.4530922000001999e+35,,Applied PSF,1.28e-14,1.2898203064213942e+31,1.2898203064213942e+31,7.905489867021547e+30,7.905489867021547e+30,7.013735111466714e+33,7.013735111466714e+33,1.4513985302734872e+35,1.4513985302734872e+35,31.911766644295657,36.17562453691952,0.08050132062420774,0.08050132062420774,0.04211656526649671,0.04211656526649671,0.06863519580970402,0.06863519580970402,0.04206747577886132,0.04206747577886132,0.002032867787632242,0.002032867787632242,0.042067475778861316,0.042067475778861316,,
33,IGR_J1706.2-6143,H,176,S,2013-06-17,17 06 16.3,-61 42 40.5,0.3,"Ricci+2008, UVOT",1.02e+21,20.06793144,0.1880952643,,-0.03998041997,,0.2077787938,0.09972067039,0.001671296152,20.00819119,0.1882363559,1.405e-14,2.3650158561836324e-15,,7.3,0.5,0.5,Keek+2017,8.958452574191575e+31,1.7398116995498076e+31,1.7398116995498076e+31,,2.35e-10,1.1e-12,1.1e-12,,Build swift XRT products,1.4983888647224344e+36,1.4530922000001999e+35,1.4530922000001999e+35,,Applied PSF & Astrometric offset,1.405e-14,1.5079631590627866e+31,1.5079631590627866e+31,8.67751036184787e+30,8.67751036184787e+30,7.013735111466714e+33,7.013735111466714e+33,1.4513985302734872e+35,1.4513985302734872e+35,31.952232998888885,36.17562453691952,0.08434387684788132,0.08434387684788132,0.04211656526649671,0.04211656526649671,0.07310415202521323,0.07310415202521323,0.04206747577886132,0.04206747577886132,0.002032867787632242,0.002032867787632242,0.042067475778861316,0.042067475778861316,,
