,Source,Filter,Obs_number,Detected Name,Date obs,RA,DEC,Error_circle (arcsec),Position_source,nH,Mag_raw,Mag_err,Upper_limit,zp_offset,SExtractor_Flag,Astrometric_err,An_extinction,An_extinction_err,Mag_corr,Mag_err_corr,Flux (erg/s/cm2),Flux_err,F_NIR_upplim,Distance (kpc),D_errup,D_errlow,Distance_source,L_NIR,L_NIR_errup,L_NIR_errlow,L_NIR_upplim,Xray_Flux (erg/s/cm2),Xray_errup,Xray_errlow,Xray_upplim,Xray_Flux_source,L_X,L_X_errup,L_X_errlow,L_X_upplim,Comments,,L_NIR_errup_nodist,L_NIR_errlow_nodist,L_NIR_errup_noflux,L_NIR_errlow_noflux,L_X_errup_nodist,L_X_errlow_nodist,L_X_errup_noflux,L_X_errlow_noflux
38,MAXI_J1305-704,Ks,458,S,2013-06-17,13 06 55.300,-70 27 05.11,0.07,"Coriat+2012, ACTA",2.08e+21,17.515215,0.10421792,,0.01667932358,0.0,0.04346682233,0.1301452514,0.002181205331,17.3683899,0.10440262,8.55e-14,8.21e-15,,7.5,1.8,1.4,Mata Sánchez+2021,5.75439401929583e+32,2.02976403333862e+32,1.6164560956511946e+32,,,,,1.24e-11,Build swift XRT products,,,,8.345553899329625e+34,,8.55e-14,5.525564315604534e+31,5.525564315604534e+31,1.9531060956784295e+32,1.5190825188610003e+32,,,,
39,MAXI_J1305-704,H,468,S,2013-06-17,13 06 55.300,-70 27 05.11,0.14,"Coriat+2012, ACTA",2.08e+21,17.372196,0.17712756,,-0.02002261353,0.0,0.06764173314,0.2033519553,0.003408133329,17.18886759,0.1771955248,1.3900000000000001e-13,2.5977905997212322e-14,,7.5,1.8,1.4,Mata Sánchez+2021,9.355096709732403e+32,3.624763769257719e+32,3.0258682217070147e+32,,,,,1.24e-11,Build swift XRT products,,,,8.345553899329625e+34,Used extra error circle of 0.14 instead of 0.07 to include source,1.3900000000000001e-13,1.748387215253659e+32,1.748387215253659e+32,3.1752251146117158e+32,2.4696195335868895e+32,,,,
41,MAXI_J1305-704,J,478,S,2013-06-17,13 06 55.300,-70 27 05.11,0.07,"Coriat+2012, ACTA",2.08e+21,18.082226,0.085612305,,-0.04301413889,0.0,0.06196603007,0.3276871508,0.005491963422,17.79755318,0.08585191833,1.12e-13,9.734130675103967e-15,,7.5,1.8,1.4,Mata Sánchez+2021,7.537919651007403e+32,2.641002154034124e+32,2.094979822202328e+32,,,,,1.24e-11,Build swift XRT products,,,,8.345553899329625e+34,,1.12e-13,6.551347759048228e+31,6.551347759048228e+31,2.5584547686080008e+32,1.9899092644728892e+32,,,,
43,IGR_J17091-3624,H,3730,S,2014-05-10,17 09 7.61,-36 24 25.7,0.6,"Bodaghee+2012, Chandra",5.81e+21,16.471195,0.016173203,,-0.1219688861,3.0,0.1262354633,0.5680167598,0.009519833963,16.02514768,0.01900264688,4.56e-13,6.79e-15,,14.0,3.0,3.0,Rodriguez+2011,1.0693795344895836e+34,3.2446190572867956e+33,3.2446190572867956e+33,,1.36e-13,3.4e-14,3.9e-14,,Wijnands+2012,3.1893775590040213e+33,1.2529697553230083e+33,1.3306652360617217e+33,,"There is also a radio position (17 09 7.61 -36 24 25.7, error=0.1"") but it does not [erfect;u overlap with centroid: Rodriguez+2011, ACTA",4.56e-13,1.5923436489439195e+32,1.5923436489439195e+32,3.240709373570134e+33,3.240709373570134e+33,7.973443897510053e+32,9.146009176555649e+32,9.665273570296891e+32,9.665273570296891e+32
44,IGR_J17091-3624,Ks,3739,S,2014-05-10,17 09 7.61,-36 24 25.7,0.6,"Bodaghee+2012, Chandra",5.81e+21,16.194166,0.019851277,,-0.0651388826,3.0,0.1492285362,0.3635307263,0.006092693736,15.89577523,0.02101378723,3.32e-13,6.07e-15,,14.0,3.0,3.0,Rodriguez+2011,7.785833452862758e+33,2.3637540018424838e+33,2.3637540018424838e+33,,1.36e-13,3.4e-14,3.9e-14,,Wijnands+2012,3.1893775590040213e+33,1.2529697553230083e+33,1.3306652360617217e+33,,"There is also a radio position (17 09 7.61 -36 24 25.7, error=0.1"") but it does not [erfect;u overlap with centroid: Rodriguez+2011, ACTA",3.32e-13,1.4234942487613534e+32,1.4234942487613534e+32,2.3594638421607118e+33,2.3594638421607118e+33,7.973443897510053e+32,9.146009176555649e+32,9.665273570296891e+32,9.665273570296891e+32
45,MXB_1659-28,H,684,S,2013-06-18,17 02 06.54 ,-29 56 44.1,0.3,"Wijnands+2003, Chandra",1.74e+21,19.824308,0.10696019,,-0.02082293031,1.0,0.1342853361,0.1701117318,0.002851034612,19.67501919,0.1070415159,1.58e-14,1.56e-15,,12.0,3.0,3.0,Galloway+2008,2.7222658396781025e+32,9.992919821132357e+31,9.992919821132357e+31,,1.1e-14,4e-15,4e-15,,Parikh+2019,1.8952483693961475e+32,9.612317925082945e+31,9.612317925082945e+31,,,1.58e-14,2.6878067784163545e+31,2.6878067784163545e+31,9.624663177144387e+31,9.624663177144387e+31,6.8918122523496275e+31,6.8918122523496275e+31,6.700714870163813e+31,6.700714870163813e+31
46,MXB_1659-28,Ks ,694,S,2013-06-18,17 02 06.54 ,-29 56 44.1,0.3,"Wijnands+2003, Chandra",1.74e+21,19.395103,0.12524414,,-0.05045160709,1.0,0.1284012338,0.1088715084,0.001824662152,19.33668322,0.1253150507,1.4e-14,1.61e-15,,12.0,3.0,3.0,Galloway+2008,2.412134288322369e+32,8.967983106567866e+31,8.967983106567866e+31,,1.1e-14,4e-15,4e-15,,Parikh+2019,1.8952483693961475e+32,9.612317925082945e+31,9.612317925082945e+31,,,1.4e-14,2.7739544315707244e+31,2.7739544315707244e+31,8.52818256202667e+31,8.52818256202667e+31,6.8918122523496275e+31,6.8918122523496275e+31,6.700714870163813e+31,6.700714870163813e+31
47,MXB_1659-28,Ks,3712,S,2014-05-10,17 02 06.54 ,-29 56 44.1,0.3,"Wijnands+2003, Chandra",1.74e+21,19.38443,0.19684346,,-0.05265434535,0.0,0.1311253509,0.1088715084,0.001824662152,19.32821269,0.1968896328,1.41e-14,2.55e-15,,12.0,3.0,3.0,Galloway+2008,2.429363818953243e+32,9.64757563603662e+31,9.64757563603662e+31,,1.1e-14,4e-15,4e-15,,Parikh+2019,1.8952483693961475e+32,9.612317925082945e+31,9.612317925082945e+31,,,1.41e-14,4.393530310872887e+31,4.393530310872887e+31,8.589098151755432e+31,8.589098151755432e+31,6.8918122523496275e+31,6.8918122523496275e+31,6.700714870163813e+31,6.700714870163813e+31
48,MXB_1659-28,H,3721,S,2014-05-10,17 02 06.54 ,-29 56 44.1,0.3,"Wijnands+2003, Chandra",1.74e+21,19.552694,0.09876649,,-0.0377332143,1.0,0.1108476003,0.1701117318,0.002851034612,19.42031567,0.09885889706,2e-14,1.82e-15,,12.0,3.0,3.0,Galloway+2008,3.4459061261748134e+32,1.2580200517646594e+32,1.2580200517646594e+32,,1.1e-14,4e-15,4e-15,,Parikh+2019,1.8952483693961475e+32,9.612317925082945e+31,9.612317925082945e+31,,,2e-14,3.1357745748190802e+31,3.1357745748190802e+31,1.2183117945752388e+32,1.2183117945752388e+32,6.8918122523496275e+31,6.8918122523496275e+31,6.700714870163813e+31,6.700714870163813e+31
49,Swift_J1910.2-0546,Ks,819,S,2013-06-18,19 10 22.79,-05 47 56.4,1.3,"Rau+2012, GROND",2.24e+21,14.774146,0.011517805,,-0.03722545917,0.0,0.09362722852,0.1401564246,0.002348990356,14.67121538,0.01269178524,1.04e-12,1.234706442843804e-14,,6.9,,,Reis+2013,5.924374107426047e+33,,,,2.5e-12,7e-13,4e-13,,Build swift XRT products,1.4241283912081843e+34,,,,"These two Ks observations from 2013 are much brighter than H and J observations from 2014, are both in quiscence ",1.04e-12,7.033522000246107e+31,7.033522000246107e+31,,,3.9875594953829166e+33,2.278605425933095e+33,,
51,Swift_J1910.2-0546,H,3442,S2,2014-05-09,19 10 22.79,-05 47 56.4,1.3,"Rau+2012, GROND",2.24e+21,17.67534,0.018099366,,-0.03474697724,3.0,0.232920893,0.2189944134,0.003670297431,17.49109241,0.01915281207,1.2149999999999999e-13,4.6753074765195925e-15,,6.9,,,Reis+2013,6.921263981271776e+32,,,,1.17e-14,1.25e-14,2e-16,,Thesis Maria ,6.664920870854303e+31,,,,"Also another source within error circle (see our finder chart), but can identify correct source with this finder chart & small astrometric offset",1.2149999999999999e-13,2.6632952459757775e+31,2.6632952459757775e+31,,,7.120641956040923e+31,1.1393027129665475e+30,,
53,Swift_J1910.2-0546,J,3460,S2,2014-05-09,19 10 22.79,-05 47 56.4,1.3,"Rau+2012, GROND",2.24e+21,18.389482,0.036114354,,-0.05149970702,3.0,0.3781391836,0.3528938547,0.005914422147,18.08808896,0.0367056989,9.895e-14,3.659193900300994e-15,,6.9,,,Reis+2013,5.636700172401994e+32,,,,1.17e-14,1.25e-14,2e-16,,Thesis Maria ,6.664920870854303e+31,,,,"Also another source within error circle (see our finder chart), but can identify correct source with this finder chart & small astrometric offset",9.895e-14,2.0844647689417827e+31,2.0844647689417827e+31,,,7.120641956040923e+31,1.1393027129665475e+30,,
55,GX_339-4,H,156,S,2013-06-17,17 02 49.3876391282,-48 47 23.087954552,0.1,"Gaia Collaboration 2020, Gaia",3.89e+21,16.210688,0.013939727,,-0.1221293397,3.0,0.1305987725,0.3803072626,0.006373864736,15.95250982,0.01573380673,4.385e-13,1.2830728740020965e-14,,10.0,2.0,2.0,Zdziarski+2019,5.246631376137694e+33,1.4918912034299254e+33,1.4918912034299254e+33,,5.5e-13,2.83e-14,2.5e-14,,Plotkin+2013,6.580723504847734e+33,1.8918586675601802e+33,1.8851919777357937e+33,,,4.385e-13,1.5351905127960243e+32,1.5351905127960243e+32,1.4839714497812288e+33,1.4839714497812288e+33,3.386081367039834e+32,2.99123795674897e+32,1.861309686156615e+33,1.861309686156615e+33
57,GX_339-4,H,524,S,2013-06-18,17 02 49.3876391282,-48 47 23.087954552,0.1,"Gaia Collaboration 2020, Gaia",3.89e+21,16.086811,0.0093679335,,-0.05839127319,3.0,0.1170770385,0.3803072626,0.006373864736,15.76489537,0.0119465952,5.355e-13,6.834881125520765e-15,,10.0,2.0,2.0,Zdziarski+2019,6.407231703356295e+33,1.8140830346787962e+33,1.8140830346787962e+33,,5.5e-13,2.83e-14,2.5e-14,,Plotkin+2013,6.580723504847734e+33,1.8918586675601802e+33,1.8851919777357937e+33,,,5.355e-13,8.177902341009935e+31,8.177902341009935e+31,1.812238794430668e+33,1.812238794430668e+33,3.386081367039834e+32,2.99123795674897e+32,1.861309686156615e+33,1.861309686156615e+33
59,RXS_J170854.4-321857,Ks,649,S,2013-06-18,17 08 54.269,-32 19 57.13,0.6,"Zand+2005, Chandra",2.5e+21,18.293423,0.13936953,,-0.06203002205,0.0,0.1169019847,0.156424581,0.002621641022,18.19902891,0.1394259522,3.98e-14,5.11e-15,,13.0,2.0,2.0,Zand+2005,8.047865897873965e+32,2.033130076843739e+32,2.033130076843739e+32,,9e-12,1.8e-12,1.8e-12,,Thesis Bilal 2018,1.8198691728860726e+35,5.3782377276293925e+34,5.3782377276293925e+34,,,3.98e-14,1.0332812748275369e+32,1.0332812748275369e+32,1.7509847847589675e+32,1.7509847847589675e+32,3.6397383457721452e+34,3.6397383457721452e+34,3.9595133323695244e+34,3.9595133323695244e+34
60,RXS_J170854.4-321857,H,659,S,2013-06-18,17 08 54.269,-32 19 57.13,0.6,"Zand+2005, Chandra",2.5e+21,18.287573,0.07103984,,-0.06100851219,1.0,0.1411616672,0.2444134078,0.004096314098,18.10416791,0.07120255606,7.18e-14,6.475314664168839e-15,,13.0,2.0,2.0,Zand+2005,1.4518511845913335e+33,3.4194313939853174e+32,3.4194313939853174e+32,,9e-12,1.8e-12,1.8e-12,,Thesis Bilal 2018,1.8198691728860726e+35,5.3782377276293925e+34,5.3782377276293925e+34,,,7.18e-14,1.3093583935620002e+32,1.3093583935620002e+32,3.1588117473792428e+32,3.1588117473792428e+32,3.6397383457721452e+34,3.6397383457721452e+34,3.9595133323695244e+34,3.9595133323695244e+34
62,RXS_J170854.4-321857,J,674,S,2013-06-18,17 08 54.269,-32 19 57.13,0.6,"Zand+2005, Chandra",2.5e+21,18.665852,0.06609705,,-0.09239172772,3.0,0.2068092848,0.3938547486,0.006600917574,18.36438881,0.06647560235,7.2e-14,4.38e-15,,13.0,2.0,2.0,Zand+2005,1.4558953383088582e+33,3.28909836956419e+32,3.28909836956419e+32,,9e-12,1.8e-12,1.8e-12,,Thesis Bilal 2018,1.8198691728860726e+35,5.3782377276293925e+34,5.3782377276293925e+34,,,7.2e-14,8.856696641378888e+31,8.856696641378888e+31,3.1676106658956198e+32,3.1676106658956198e+32,3.6397383457721452e+34,3.6397383457721452e+34,3.9595133323695244e+34,3.9595133323695244e+34
63,SLX_1735-269,Ks,739,S,2013-06-18,17 38 17.12 ,-26 59 38.6,0.6,"Wilson+2003, Chandra",3.73e+21,16.084038,0.0751064,,-0.06320470846,2.0,0.1590866425,0.2333854749,0.003911488405,15.91385612,0.07534443595,3.62e-13,3.684521678590044e-14,,6.0,1.2,1.2,Molkov+2004,1.559272522094103e+33,4.687154791843458e+32,4.687154791843458e+32,,5e-10,1e-10,1e-10,,Thesis Bilal 2018,2.1536913288592584e+36,7.460605610809533e+35,7.460605610809533e+35,,Detected counterpart has weird shape & Used low_lim = 12 for magnitude calibration because of bright sources ,3.62e-13,1.5870644780346673e+32,1.5870644780346673e+32,4.410288696362364e+32,4.410288696362364e+32,4.3073826577185166e+35,4.3073826577185166e+35,6.091558972876193e+35,6.091558972876193e+35
65,SLX_1735-269,H,749,S,2013-06-18,17 38 17.12 ,-26 59 38.6,0.6,"Wilson+2003, Chandra",3.73e+21,16.752247,0.11561064,,-0.05847920319,3.0,0.327578877,0.3646648045,0.006111700634,16.44606136,0.1158504986,3.88e-13,5.280246206380911e-14,,6.0,1.2,1.2,Molkov+2004,1.6712644711947845e+33,5.245751942595973e+32,5.245751942595973e+32,,5e-10,1e-10,1e-10,,Thesis Bilal 2018,2.1536913288592584e+36,7.460605610809533e+35,7.460605610809533e+35,,Detected counterpart has weird shape & Used low_lim = 12 for magnitude calibration because of bright sources  & small astrometric offset,3.88e-13,2.2744040937849124e+32,2.2744040937849124e+32,4.727049762951926e+32,4.727049762951926e+32,4.3073826577185166e+35,4.3073826577185166e+35,6.091558972876193e+35,6.091558972876193e+35
67,4U_1323-619,Ks,1014,S,2018-06-18,13 26 37.03,-62 08 08.88,0.6,"Gambino+2015, Chandra",1.17e+22,17.71125172,0.03334801742,,-0.05650803954,,0.1571277125,0.7320670391,0.01226927999,17.03569272,0.03570784627,1.16e-13,3.82e-15,,4.2,0.8,0.8,Gambino+2015,2.4483163026472053e+32,6.644227561164393e+31,6.644227561164393e+31,,1.43e-10,4e-12,3e-12,,Build swift XRT products,3.018183028263365e+35,8.173916843797855e+34,8.154819871245259e+34,,Applied psf,1.16e-13,8.06255885871752e+30,8.06255885871752e+30,6.5951278479672925e+31,6.5951278479672925e+31,8.442470009128294e+33,6.33185250684622e+33,8.130200709132093e+34,8.130200709132093e+34
68,4U_1323-619,H,1020,S,2018-06-18,13 26 37.03,-62 08 08.88,0.6,"Gambino+2015, Chandra",1.17e+22,18.43248628,0.04643225571,,-0.04367074262,,0.1771816132,1.143854749,0.01917074998,17.33230228,0.05031812238,1.37e-13,6.34e-15,,4.2,0.8,0.8,Gambino+2015,2.8915459781264402e+32,7.903180400065613e+31,7.903180400065613e+31,,1.43e-10,4e-12,3e-12,,Build swift XRT products,3.018183028263365e+35,8.173916843797855e+34,8.154819871245259e+34,,Applied psf,1.37e-13,1.3381314964468345e+31,1.3381314964468345e+31,7.789073406651025e+31,7.789073406651025e+31,8.442470009128294e+33,6.33185250684622e+33,8.130200709132093e+34,8.130200709132093e+34
69,4U_1708-40,Ks,1066,S,2018-06-19,17 12 23.83,-40 50 34.0,0.6,"Wilson+2003, Chandra",1.01e+22,16.466145,0.033352472,,-0.1109107518,1.0,0.1449167918,0.6319553073,0.01059142973,15.94509967,0.03519366632,3.17e-13,9.75e-15,,8.0,,,Migliari+2003,2.4274494266609243e+33,,,,2.7e-09,5e-10,3e-10,,Build swift XRT products,2.0675436757048882e+37,,,,,3.17e-13,7.466129940045428e+31,7.466129940045428e+31,,,3.8287845846386815e+36,2.297270750783209e+36,,
70,4U_1708-40,H,1071,S,2018-06-19,17 12 23.83,-40 50 34.0,0.6,"Wilson+2003, Chandra",1.01e+22,16.805809,0.03164833,,-0.2505341947,1.0,0.2036246166,0.9874301676,0.01654910895,16.06891291,0.03593440966,4.38e-13,1.28e-14,,8.0,,,Migliari+2003,3.354015296143485e+33,,,,2.7e-09,5e-10,3e-10,,Build swift XRT products,2.0675436757048882e+37,,,,,4.38e-13,9.801688536675024e+31,9.801688536675024e+31,,,3.8287845846386815e+36,2.297270750783209e+36,,
71,4U_1708-40,J,1076,S,2018-06-19,17 12 23.83,-40 50 34.0,0.6,"Wilson+2003, Chandra",1.01e+22,18.221867,0.04937905,,-0.1062858693,1.0,0.3023030532,1.591173184,0.026667707,16.73697852,0.05617574486,3.22e-13,1.47e-14,,8.0,,,Migliari+2003,2.465737272507311e+33,,,,2.7e-09,5e-10,3e-10,,Build swift XRT products,2.0675436757048882e+37,,,,Small astrometric offset,3.22e-13,1.1256626678837724e+32,1.1256626678837724e+32,,,3.8287845846386815e+36,2.297270750783209e+36,,
72,XTE_J1710-281,Ks,1051,S1,2018-06-19,17 10 12.532,-28 07 50.95,1.0,"Watson+2008, XMMN",2.31e+21,18.789946,0.0891971,,-0.07503025921,3.0,0.1545426907,0.1445363128,0.002422396305,18.72043866,0.08928609456,2.46e-14,2.02e-15,,16.0,,,Galloway+2008,7.535048062568926e+32,,,,8.4e-11,5e-12,4e-12,,Build swift XRT products,2.572943240877194e+36,,,,"Based on finding chart in Ratti, I think it is this one (S1), but not sure since second source in our finding chart is very nearby",2.46e-14,6.1873158887761105e+31,6.1873158887761105e+31,,,1.5315138338554727e+35,1.2252110670843782e+35,,
73,XTE_J1710-281,H,1056,S,2018-06-19,17 10 12.532,-28 07 50.95,1.0,"Watson+2008, XMMN",2.31e+21,18.95804333,0.2042964201,,-0.09915730628,0.0,0.209562283,0.2258379888,0.003784994226,18.83136265,0.2043961394,3.44e-14,6.47e-15,,16.0,,,Galloway+2008,1.053681517692565e+33,,,,8.4e-11,5e-12,4e-12,,Build swift XRT products,2.572943240877194e+36,,,,Applied psf,3.44e-14,1.9817789010089814e+32,1.9817789010089814e+32,,,1.5315138338554727e+35,1.2252110670843782e+35,,
74,XTE_J1710-281,J,1061,S,2018-06-19,17 10 12.532,-28 07 50.95,1.0,"Watson+2008, XMMN",2.31e+21,19.70556791,0.02016710423,,-0.05029126929,3.0,0.219786549,0.3639217877,0.006099247839,19.39193739,0.02117074584,2.8e-14,5.45e-16,,16.0,,,Galloway+2008,8.576477469590647e+32,,,,8.4e-11,5e-12,4e-12,,Build swift XRT products,2.572943240877194e+36,,,,Applied psf,2.8e-14,1.6693500789024649e+31,1.6693500789024649e+31,,,1.5315138338554727e+35,1.2252110670843782e+35,,
75,4U_1735-44,Ks,1143,S,2018-06-19,17 38 58.238405302,-44 27 00.699118812,0.1,"Gaia Collaboration 2020, Gaia",2.75e+21,16.201534,0.013292001,,-0.05813436063,2.0,0.3667796723,0.1720670391,0.002883805125,16.08760131,0.01461972043,2.78e-13,3.41e-15,,8.5,1.3,1.3,Galloway+2008,2.4032203992112572e+33,5.2063131922107074e+32,5.2063131922107074e+32,,4.11e-09,5e-12,5e-12,,Build swift XRT products,3.552962532646859e+37,7.684877014607214e+36,7.684877014607214e+36,,Astrometric offset,2.78e-13,2.9478350939965425e+31,2.9478350939965425e+31,5.197961113549549e+32,5.197961113549549e+32,4.322338847502261e+34,4.322338847502261e+34,7.684755459240522e+36,7.684755459240522e+36
76,4U_1735-44,H,1148,S,2018-06-19,17 38 58.238405302,-44 27 00.699118812,0.1,"Gaia Collaboration 2020, Gaia",2.75e+21,16.425356,0.0092493035,,-0.01564851127,2.0,0.2227781787,0.2688547486,0.004505945507,16.17214905,0.01166434512,3.98e-13,3.39e-15,,8.5,1.3,1.3,Galloway+2008,3.4405817226118003e+33,7.447453364189173e+32,7.447453364189173e+32,,4.11e-09,5e-12,5e-12,,Build swift XRT products,3.552962532646859e+37,7.684877014607214e+36,7.684877014607214e+36,,Astrometric offset,3.98e-13,2.930545738606533e+31,2.930545738606533e+31,7.441685335225615e+32,7.441685335225615e+32,4.322338847502261e+34,4.322338847502261e+34,7.684755459240522e+36,7.684755459240522e+36
77,4U_1735-44,J,1153,S,2018-06-19,17 38 58.238405302,-44 27 00.699118812,0.1,"Gaia Collaboration 2020, Gaia",2.75e+21,16.829361,0.009045875,,-0.06538238603,3.0,0.278722783,0.4332402235,0.007261009332,16.46150274,0.01217597917,4.16e-13,3.46e-15,,8.5,1.3,1.3,Galloway+2008,3.5961859211218814e+33,7.78399277630734e+32,7.78399277630734e+32,,4.11e-09,5e-12,5e-12,,Build swift XRT products,3.552962532646859e+37,7.684877014607214e+36,7.684877014607214e+36,,Astrometric offset,4.16e-13,2.9910584824715644e+31,2.9910584824715644e+31,7.778243968477024e+32,7.778243968477024e+32,4.322338847502261e+34,4.322338847502261e+34,7.684755459240522e+36,7.684755459240522e+36
78,GS_1826-24,Ks,1200,S13,2018-06-19,18 29 28.2,-23 47 49.1,2.0,"Barret+1995, ESO-MPI",2.01e+21,16.57616648,0.01303028876,,-0.06908900842,,0.2181939118,0.1257653631,0.002107799382,16.51949012,0.01363393306,1.87e-13,2.35e-15,,5.7,0.2,0.2,Chenevez+2016 ,7.269462026865099e+32,3.7210995633014964e+31,3.7210995633014964e+31,,4.75e-09,1e-11,1e-11,,Build swift XRT products,1.8465211030807068e+37,9.170962695428615e+35,9.170962695428615e+35,,Applied psf,1.87e-13,9.13542019418876e+30,9.13542019418876e+30,3.60721817177152e+31,3.60721817177152e+31,3.887412848590961e+34,3.887412848590961e+34,9.162719955034609e+35,9.162719955034609e+35
79,GS_1826-24,H,1205,S13,2018-06-19,18 29 28.2,-23 47 49.1,2.0,"Barret+1995, ESO-MPI",2.01e+21,16.64431853,0.004711686146,,-0.06127089225,,0.2116501705,0.1965083799,0.003293436534,16.50908105,0.006263001915,2.92e-13,1.68e-15,,5.7,0.2,0.2,Chenevez+2016 ,1.1351245517885609e+33,5.670396494069895e+31,5.670396494069895e+31,,4.75e-09,1e-11,1e-11,,Build swift XRT products,1.8465211030807068e+37,9.170962695428615e+35,9.170962695428615e+35,,Applied psf,2.92e-13,6.530853585632816e+30,6.530853585632816e+30,5.632661530252855e+31,5.632661530252855e+31,3.887412848590961e+34,3.887412848590961e+34,9.162719955034609e+35,9.162719955034609e+35
80,GS_1826-24,J,1210,S10,2018-06-19,18 29 28.2,-23 47 49.1,2.0,"Barret+1995, ESO-MPI",2.01e+21,17.16407889,0.01126970434,,-0.09651794119,,0.2726869918,0.3166592179,0.00530713773,16.94393761,0.01262569574,2.66e-13,3.1e-15,,5.7,0.2,0.2,Chenevez+2016 ,1.0340518177251957e+33,5.2707386753615e+31,5.2707386753615e+31,,4.75e-09,1e-11,1e-11,,Build swift XRT products,1.8465211030807068e+37,9.170962695428615e+35,9.170962695428615e+35,,Applied psf,2.66e-13,1.205097983063198e+31,1.205097983063198e+31,5.13112317481938e+31,5.13112317481938e+31,3.887412848590961e+34,3.887412848590961e+34,9.162719955034609e+35,9.162719955034609e+35
81,Ser_X-1,Ks,1185,S,2018-06-19,18 39 57.557,5 2 9.5,0.14,"Migliari+2004, VLA",4.4e+21,16.56634533,0.007443161497,,-0.03502388446,,0.1137376243,0.2753072626,0.004614088199,16.32606195,0.01009616731,2.23e-13,2.08e-15,,10.0,1.1,1.1,Galloway+2008,2.668184257420082e+33,4.1581748729440914e+32,4.1581748729440914e+32,,1.03e-08,5e-11,5e-11,,Build swift XRT products,1.2323900381805757e+38,1.918082167381216e+37,1.918082167381216e+37,,"Applied psf because: I am not sure of our detection is correct, it seems blended. should be the left source according to finder chart here",2.23e-13,2.4887099800151435e+31,2.4887099800151435e+31,4.150720600129252e+32,4.150720600129252e+32,5.982475913497941e+35,5.982475913497941e+35,1.9171489767413137e+37,1.9171489767413137e+37
82,Ser_X-1,H,1190,S,2018-06-19,18 39 57.557,5 2 9.5,0.14,"Migliari+2004, VLA",4.4e+21,16.93084233,0.008927016663,,-0.09750055791,,0.1167365331,0.4301675978,0.007209512812,16.59817529,0.01223151688,2.69e-13,3.03e-15,,10.0,1.1,1.1,Galloway+2008,3.2185720414618924e+33,5.020031107176591e+32,5.020031107176591e+32,,1.03e-08,5e-11,5e-11,,Build swift XRT products,1.2323900381805757e+38,1.918082167381216e+37,1.918082167381216e+37,,Applied psf ,2.69e-13,3.625380403579752e+31,3.625380403579752e+31,5.0069230557612955e+32,5.0069230557612955e+32,5.982475913497941e+35,5.982475913497941e+35,1.9171489767413137e+37,1.9171489767413137e+37
83,Ser_X-1,J,1195,S,2018-06-19,18 39 57.557,5 2 9.5,0.14,"Migliari+2004, VLA",4.4e+21,17.45843026,0.009733402953,,-0.05354117372,,0.12163184,0.6931843575,0.01161761493,16.81878707,0.01543603283,2.99e-13,4.25e-15,,10.0,1.1,1.1,Galloway+2008,3.5775205962717686e+33,5.588499318509708e+32,5.588499318509708e+32,,1.03e-08,5e-11,5e-11,,Build swift XRT products,1.2323900381805757e+38,1.918082167381216e+37,1.918082167381216e+37,,Applied psf,2.99e-13,5.08510452647325e+31,5.08510452647325e+31,5.56531596160828e+32,5.56531596160828e+32,5.982475913497941e+35,5.982475913497941e+35,1.9171489767413137e+37,1.9171489767413137e+37
84,XTE_J1637-498,H,3694,S,2014-05-10,16 37 2.66 ,-49 51 40.0,0.16,"Curran+2011, EFOSC2/NTT",7.36e+21,13.735894,0.0074312347,,-0.4197052215,3.0,0.2126221516,0.7195530726,0.0120595487,13.43604652,0.0146752539,4.95e-12,3.39e-14,,8.0,,,,3.7904967387922947e+34,,,,,,,,,,,,,Small systematic magnitude offset but seems fixed with calibration,4.95e-12,2.595915948385026e+32,2.595915948385026e+32,,,,,,
85,XTE_J1637-498,Ks,3703,S,2014-05-10,16 37 2.66 ,-49 51 40.0,0.16,"Curran+2011, EFOSC2/NTT",7.36e+21,13.616517,0.0061454345,,-0.08818684327,3.0,0.2829191941,0.4605139665,0.00771811117,13.24419032,0.01036527364,3.82e-12,2.16e-14,,8.0,,,,2.9251914226639527e+34,,,,,,,,,,,,,Small astrometric offset,3.82e-12,1.6540349405639104e+32,1.6540349405639104e+32,,,,,,
86,4U_1626-67,Ks,1036,S,2018-06-19,16 32 16.7,-67 27 40.3,1.0,"Watson+2008, XMMN",9.6e+20,18.491129,0.061269343,,-0.01652955061,0.0,0.05515766069,0.06006703911,0.001006710153,18.44759097,0.06148720374,3.17e-14,1.79e-15,,9.0,4.0,4.0,Chakrabarty 1998,3.072240680617732e+32,1.938801096825239e+32,1.938801096825239e+32,,3.69e-10,2.4e-12,2.4e-12,,Build swift XRT products,3.576204451570799e+36,2.247905603203234e+36,2.247905603203234e+36,,"Correct position was hard to find, but in the end I used this position and I think it gives the correct source based on finder chart in this article. ",3.17e-14,1.7347983653961325e+31,1.7347983653961325e+31,1.9310241944017533e+32,1.9310241944017533e+32,2.325986635167999e+34,2.325986635167999e+34,2.2477852609913153e+36,2.2477852609913153e+36
